tag,time
model_init_2008,3.3855438232421875e-05
model_fit_2008,1.9133055210113525
recommend_user_2008_5,0.0009696483612060547
recommend_user_2008_7,0.0006098747253417969
recommend_user_2008_9,0.0006082057952880859
recommend_user_2008_10,0.0005691051483154297
recommend_user_2008_11,0.005764484405517578
recommend_user_2008_14,0.0005774497985839844
recommend_user_2008_16,0.0005161762237548828
recommend_user_2008_18,0.0005116462707519531
recommend_user_2008_24,0.0005049705505371094
recommend_user_2008_25,0.0005543231964111328
recommend_user_2008_26,0.0005824565887451172
recommend_user_2008_28,0.0006103515625
recommend_user_2008_33,0.0005879402160644531
recommend_user_2008_37,0.0005021095275878906
recommend_user_2008_39,0.0010726451873779297
recommend_user_2008_40,0.0005156993865966797
recommend_user_2008_42,0.0037398338317871094
recommend_user_2008_55,0.002390146255493164
recommend_user_2008_59,0.0015583038330078125
recommend_user_2008_60,0.008430719375610352
recommend_user_2008_64,0.0028944015502929688
recommend_user_2008_66,0.0005006790161132812
recommend_user_2008_68,0.0013089179992675781
recommend_user_2008_70,0.0010499954223632812
recommend_user_2008_71,0.0053865909576416016
recommend_user_2008_73,0.0031914710998535156
recommend_user_2008_76,0.0005147457122802734
recommend_user_2008_78,0.0004904270172119141
recommend_user_2008_81,0.0003769397735595703
recommend_user_2008_83,0.00042510032653808594
recommend_user_2008_90,0.00041985511779785156
recommend_user_2008_91,0.0003714561462402344
recommend_user_2008_92,0.000675201416015625
recommend_user_2008_96,0.00041174888610839844
recommend_user_2008_97,0.0003750324249267578
recommend_user_2008_99,0.00039458274841308594
recommend_user_2008_106,0.0003609657287597656
recommend_user_2008_111,0.0004475116729736328
recommend_user_2008_112,0.0003829002380371094
recommend_user_2008_116,0.0003848075866699219
recommend_user_2008_117,0.0004096031188964844
recommend_user_2008_124,0.0004382133483886719
recommend_user_2008_129,0.00039458274841308594
recommend_user_2008_135,0.0003743171691894531
recommend_user_2008_136,0.00042510032653808594
recommend_user_2008_137,0.0004239082336425781
recommend_user_2008_142,0.0003612041473388672
recommend_user_2008_143,0.0003726482391357422
recommend_user_2008_149,0.0003609657287597656
recommend_user_2008_151,0.0005698204040527344
recommend_user_2008_153,0.00037384033203125
recommend_user_2008_156,0.00036263465881347656
recommend_user_2008_159,0.0003597736358642578
recommend_user_2008_162,0.00039267539978027344
recommend_user_2008_170,0.0003745555877685547
recommend_user_2008_173,0.00043082237243652344
recommend_user_2008_175,0.0003712177276611328
recommend_user_2008_177,0.0004749298095703125
recommend_user_2008_185,0.0004227161407470703
recommend_user_2008_187,0.00037169456481933594
recommend_user_2008_189,0.00036072731018066406
recommend_user_2008_190,0.0003972053527832031
recommend_user_2008_193,0.0003676414489746094
recommend_user_2008_196,0.0003631114959716797
recommend_user_2008_198,0.00036978721618652344
recommend_user_2008_211,0.0004591941833496094
recommend_user_2008_217,0.00044798851013183594
recommend_user_2008_220,0.000568389892578125
recommend_user_2008_225,0.0005717277526855469
recommend_user_2008_230,0.0005791187286376953
recommend_user_2008_235,0.0008444786071777344
recommend_user_2008_238,0.0007038116455078125
recommend_user_2008_241,0.0004589557647705078
recommend_user_2008_243,0.0003757476806640625
recommend_user_2008_255,0.000370025634765625
recommend_user_2008_257,0.00042057037353515625
recommend_user_2008_262,0.0004222393035888672
recommend_user_2008_263,0.0003628730773925781
recommend_user_2008_264,0.0004394054412841797
recommend_user_2008_266,0.0003619194030761719
recommend_user_2008_267,0.0003771781921386719
recommend_user_2008_273,0.0007119178771972656
recommend_user_2008_274,0.0003991127014160156
recommend_user_2008_275,0.0003719329833984375
recommend_user_2008_281,0.0003643035888671875
recommend_user_2008_283,0.0003788471221923828
recommend_user_2008_285,0.0003662109375
recommend_user_2008_297,0.0005879402160644531
recommend_user_2008_298,0.0003764629364013672
recommend_user_2008_299,0.0003809928894042969
recommend_user_2008_300,0.0003752708435058594
recommend_user_2008_307,0.0003628730773925781
recommend_user_2008_312,0.00039386749267578125
recommend_user_2008_317,0.00036644935607910156
recommend_user_2008_320,0.00048089027404785156
recommend_user_2008_326,0.00036835670471191406
recommend_user_2008_328,0.0003674030303955078
recommend_user_2008_329,0.00039505958557128906
recommend_user_2008_333,0.0003724098205566406
recommend_user_2008_334,0.0004088878631591797
recommend_user_2008_335,0.00036025047302246094
recommend_user_2008_336,0.00036406517028808594
recommend_user_2008_337,0.0004048347473144531
recommend_user_2008_339,0.00042128562927246094
recommend_user_2008_346,0.000431060791015625
recommend_user_2008_355,0.0004062652587890625
recommend_user_2008_358,0.0003731250762939453
recommend_user_2008_360,0.00036406517028808594
recommend_user_2008_361,0.00037217140197753906
recommend_user_2008_363,0.0003368854522705078
recommend_user_2008_364,0.00036144256591796875
recommend_user_2008_365,0.00041103363037109375
recommend_user_2008_366,0.00036978721618652344
