tag,time
model_init_2008,0.0004634857177734375
model_fit_2008,1459.4938614368439
recommend_user_2008_5,2.574920654296875e-05
recommend_user_2008_7,0.001980304718017578
recommend_user_2008_9,0.001603841781616211
recommend_user_2008_10,0.0016858577728271484
recommend_user_2008_11,1.7642974853515625e-05
recommend_user_2008_14,1.2874603271484375e-05
recommend_user_2008_16,1.3113021850585938e-05
recommend_user_2008_18,1.5497207641601562e-05
recommend_user_2008_24,1.3113021850585938e-05
recommend_user_2008_25,0.0018041133880615234
recommend_user_2008_26,1.5735626220703125e-05
recommend_user_2008_28,1.1920928955078125e-05
recommend_user_2008_33,0.0017287731170654297
recommend_user_2008_37,2.2649765014648438e-05
recommend_user_2008_39,0.0017707347869873047
recommend_user_2008_40,1.8358230590820312e-05
recommend_user_2008_42,0.0017702579498291016
recommend_user_2008_55,0.0015807151794433594
recommend_user_2008_59,0.0016644001007080078
recommend_user_2008_60,0.0017414093017578125
recommend_user_2008_64,0.001592397689819336
recommend_user_2008_66,0.0015583038330078125
recommend_user_2008_68,1.9550323486328125e-05
recommend_user_2008_70,1.6450881958007812e-05
recommend_user_2008_71,1.2636184692382812e-05
recommend_user_2008_73,1.1682510375976562e-05
recommend_user_2008_76,1.1920928955078125e-05
recommend_user_2008_78,1.1205673217773438e-05
recommend_user_2008_81,1.0967254638671875e-05
recommend_user_2008_83,0.0018410682678222656
recommend_user_2008_90,0.0015795230865478516
recommend_user_2008_91,1.5974044799804688e-05
recommend_user_2008_92,1.1682510375976562e-05
recommend_user_2008_96,1.239776611328125e-05
recommend_user_2008_97,1.1920928955078125e-05
recommend_user_2008_99,1.5974044799804688e-05
recommend_user_2008_106,1.5497207641601562e-05
recommend_user_2008_111,0.0018813610076904297
recommend_user_2008_112,1.8596649169921875e-05
recommend_user_2008_116,1.3828277587890625e-05
recommend_user_2008_117,0.0024633407592773438
recommend_user_2008_124,0.0025267601013183594
recommend_user_2008_129,3.314018249511719e-05
recommend_user_2008_135,2.86102294921875e-05
recommend_user_2008_136,0.0030906200408935547
recommend_user_2008_137,0.0025043487548828125
recommend_user_2008_142,2.2649765014648438e-05
recommend_user_2008_143,0.0018320083618164062
recommend_user_2008_149,1.9550323486328125e-05
recommend_user_2008_151,1.52587890625e-05
recommend_user_2008_153,1.2874603271484375e-05
recommend_user_2008_156,1.2874603271484375e-05
recommend_user_2008_159,1.1444091796875e-05
recommend_user_2008_162,0.0018258094787597656
recommend_user_2008_170,2.4318695068359375e-05
recommend_user_2008_173,0.0018696784973144531
recommend_user_2008_175,2.384185791015625e-05
recommend_user_2008_177,0.0018780231475830078
recommend_user_2008_185,1.811981201171875e-05
recommend_user_2008_187,1.5735626220703125e-05
recommend_user_2008_189,1.5020370483398438e-05
recommend_user_2008_190,1.3828277587890625e-05
recommend_user_2008_193,1.2874603271484375e-05
recommend_user_2008_196,1.3589859008789062e-05
recommend_user_2008_198,1.239776611328125e-05
recommend_user_2008_211,0.0019233226776123047
recommend_user_2008_217,0.0016522407531738281
recommend_user_2008_220,2.3365020751953125e-05
recommend_user_2008_225,1.3828277587890625e-05
recommend_user_2008_230,1.4066696166992188e-05
recommend_user_2008_235,0.001878976821899414
recommend_user_2008_238,1.9311904907226562e-05
recommend_user_2008_241,0.0017654895782470703
recommend_user_2008_243,1.9311904907226562e-05
recommend_user_2008_255,1.2874603271484375e-05
recommend_user_2008_257,1.430511474609375e-05
recommend_user_2008_262,0.001827239990234375
recommend_user_2008_263,2.6464462280273438e-05
recommend_user_2008_264,0.001806020736694336
recommend_user_2008_266,2.0265579223632812e-05
recommend_user_2008_267,1.3828277587890625e-05
recommend_user_2008_273,0.001943349838256836
recommend_user_2008_274,2.47955322265625e-05
recommend_user_2008_275,1.6689300537109375e-05
recommend_user_2008_281,1.2874603271484375e-05
recommend_user_2008_283,1.6450881958007812e-05
recommend_user_2008_285,1.7404556274414062e-05
recommend_user_2008_297,0.0018804073333740234
recommend_user_2008_298,1.9550323486328125e-05
recommend_user_2008_299,1.4066696166992188e-05
recommend_user_2008_300,1.3113021850585938e-05
recommend_user_2008_307,1.621246337890625e-05
recommend_user_2008_312,0.0018720626831054688
recommend_user_2008_317,2.1696090698242188e-05
recommend_user_2008_320,0.0018181800842285156
recommend_user_2008_326,1.9550323486328125e-05
recommend_user_2008_328,1.3828277587890625e-05
recommend_user_2008_329,1.2159347534179688e-05
recommend_user_2008_333,1.2636184692382812e-05
recommend_user_2008_334,0.001810312271118164
recommend_user_2008_335,1.6450881958007812e-05
recommend_user_2008_336,1.8358230590820312e-05
recommend_user_2008_337,1.4543533325195312e-05
recommend_user_2008_339,1.33514404296875e-05
recommend_user_2008_346,1.2636184692382812e-05
recommend_user_2008_355,0.0018270015716552734
recommend_user_2008_358,1.7404556274414062e-05
recommend_user_2008_360,1.239776611328125e-05
recommend_user_2008_361,1.1682510375976562e-05
recommend_user_2008_363,0.0020294189453125
recommend_user_2008_364,1.811981201171875e-05
recommend_user_2008_365,1.1205673217773438e-05
recommend_user_2008_366,1.1682510375976562e-05
recommend_user_2008_374,1.0728836059570312e-05
recommend_user_2008_377,0.0017337799072265625
recommend_user_2008_380,0.001451730728149414
recommend_user_2008_382,1.1205673217773438e-05
recommend_user_2008_387,1.0013580322265625e-05
recommend_user_2008_388,0.0015919208526611328
recommend_user_2008_390,1.2874603271484375e-05
recommend_user_2008_394,2.47955322265625e-05
recommend_user_2008_397,9.775161743164062e-06
recommend_user_2008_402,1.1205673217773438e-05
recommend_user_2008_405,1.0967254638671875e-05
